ID,Target
20150901_-55.5_-68.5,-0.23245698
20150901_-55.5_-67.5,-0.33108816
20150901_-54.5_-71.5,0.326143
20150901_-54.5_-70.5,0.14665468
20150901_-54.5_-69.5,0.010548335
20150901_-54.5_-68.5,-0.08812295
20150901_-54.5_-67.5,-0.29915693
20150901_-54.5_-66.5,-0.41835022
20150901_-53.5_-73.5,0.095165275
20150901_-53.5_-72.5,0.19168702
20150901_-53.5_-71.5,0.17864491
20150901_-53.5_-70.5,0.17549905
20150901_-53.5_-69.5,0.02119393
20150901_-53.5_-68.5,-0.08840876
20150901_-52.5_-74.5,-0.045754515
20150901_-52.5_-73.5,-0.036714677
20150901_-52.5_-72.5,-0.00037254815
20150901_-52.5_-71.5,0.052548468
20150901_-52.5_-70.5,0.0028711674
20150901_-52.5_-69.5,-0.060471322
20150901_-52.5_-68.5,-0.12131858
20150901_-51.5_-74.5,-0.16261086
20150901_-51.5_-73.5,-0.12844226
20150901_-51.5_-72.5,-0.052131455
20150901_-51.5_-71.5,-0.061334863
20150901_-51.5_-70.5,-0.13483022
20150901_-51.5_-69.5,-0.1656665
20150901_-51.5_-60.5,-0.9989511
20150901_-51.5_-59.5,-0.8573525
20150901_-51.5_-58.5,-0.70904475
20150901_-50.5_-74.5,-0.18625067
20150901_-50.5_-73.5,-0.1647676
20150901_-50.5_-72.5,-0.07540989
20150901_-50.5_-71.5,-0.19043797
20150901_-50.5_-70.5,-0.22511782
20150901_-50.5_-69.5,-0.25116143
20150901_-49.5_-75.5,-0.24022017
20150901_-49.5_-74.5,-0.20568848
20150901_-49.5_-73.5,-0.20085403
20150901_-49.5_-72.5,-0.14847434
20150901_-49.5_-71.5,-0.21625584
20150901_-49.5_-70.5,-0.24523757
20150901_-49.5_-69.5,-0.27480972
20150901_-49.5_-68.5,-0.2804023
20150901_-49.5_69.5,0.3446758
20150901_-48.5_-75.5,-0.21617006
20150901_-48.5_-74.5,-0.23700547
20150901_-48.5_-73.5,-0.22117455
20150901_-48.5_-72.5,-0.23373385
20150901_-48.5_-71.5,-0.23804595
20150901_-48.5_-70.5,-0.2826605
20150901_-48.5_-69.5,-0.34142354
20150901_-48.5_-68.5,-0.36108515
20150901_-48.5_-67.5,-0.38639003
20150901_-47.5_-73.5,-0.22296147
20150901_-47.5_-72.5,-0.2696317
20150901_-47.5_-71.5,-0.29499257
20150901_-47.5_-70.5,-0.35871977
20150901_-47.5_-69.5,-0.41708198
20150901_-47.5_-68.5,-0.5184747
20150901_-47.5_-67.5,-0.5170377
20150901_-47.5_-66.5,-0.4964754
20150901_-46.5_-74.5,-0.23824745
20150901_-46.5_-73.5,-0.25042546
20150901_-46.5_-72.5,-0.29841667
20150901_-46.5_-71.5,-0.3574789
20150901_-46.5_-70.5,-0.42851362
20150901_-46.5_-69.5,-0.49346632
20150901_-46.5_-68.5,-0.5689647
20150901_-46.5_-67.5,-0.6166192
20150901_-46.5_168.5,0.7190269
20150901_-46.5_169.5,0.84095585
20150901_-45.5_-74.5,-0.30136865
20150901_-45.5_-73.5,-0.3068686
20150901_-45.5_-72.5,-0.37072888
20150901_-45.5_-71.5,-0.44256496
20150901_-45.5_-70.5,-0.4949639
20150901_-45.5_-69.5,-0.54406595
20150901_-45.5_-68.5,-0.5402458
20150901_-45.5_-67.5,-0.6906235
20150901_-45.5_167.5,0.9917025
20150901_-45.5_168.5,1.1576029
20150901_-45.5_169.5,1.1874422
20150901_-45.5_170.5,1.0017378
20150901_-44.5_-74.5,-0.50159806
20150901_-44.5_-73.5,-0.51298714
20150901_-44.5_-72.5,-0.5296296
20150901_-44.5_-71.5,-0.6061671
20150901_-44.5_-70.5,-0.5564093
20150901_-44.5_-69.5,-0.58440137
20150901_-44.5_-68.5,-0.65538144
20150901_-44.5_-67.5,-0.7639862
20150901_-44.5_-66.5,-0.93133587
20150901_-44.5_-65.5,-1.1780894
20150901_-44.5_168.5,1.2366925
20150901_-44.5_169.5,1.2274057
20150901_-44.5_170.5,1.126142
20150901_-43.5_-73.5,-0.560722
20150901_-43.5_-72.5,-0.57526517
20150901_-43.5_-71.5,-0.572871
20150901_-43.5_-70.5,-0.5022336
20150901_-43.5_-69.5,-0.53768504
20150901_-43.5_-68.5,-0.5570442
20150901_-43.5_-67.5,-0.59999853
20150901_-43.5_-66.5,-0.7786483
20150901_-43.5_-65.5,-1.051792
20150901_-43.5_146.5,1.4350984
20150901_-43.5_170.5,1.388723
20150901_-43.5_171.5,1.2079872
20150901_-43.5_172.5,1.0151434
20150901_-42.5_-73.5,-0.01108645
20150901_-42.5_-72.5,0.038469933
20150901_-42.5_-71.5,0.021205237
20150901_-42.5_-70.5,0.06912667
20150901_-42.5_-69.5,0.032073688
20150901_-42.5_-68.5,-0.092522554
20150901_-42.5_-67.5,-0.20681708
20150901_-42.5_-66.5,-0.36340183
20150901_-42.5_-65.5,-0.62278664
20150901_-42.5_-64.5,-0.78178644
20150901_-42.5_145.5,1.2530202
20150901_-42.5_146.5,1.4504913
20150901_-42.5_147.5,1.6235473
20150901_-42.5_171.5,1.3991008
20150901_-42.5_172.5,1.1678076
20150901_-42.5_173.5,0.8623331
20150901_-41.5_-73.5,0.053378098
20150901_-41.5_-72.5,0.12635136
20150901_-41.5_-71.5,0.11113976
20150901_-41.5_-70.5,0.19452822
20150901_-41.5_-69.5,0.20118794
20150901_-41.5_-68.5,0.12778716
20150901_-41.5_-67.5,-0.035764176
20150901_-41.5_-66.5,-0.19233163
20150901_-41.5_-65.5,-0.36684185
20150901_-41.5_145.5,1.235064
